"","Condition","Serotype","Source","Day","Strain","Replicate","Minus","Plus","Log_RD"
"227","Quat","4b","Environment",15,"FSL N1-0061",1,9.41,8.15,1.26
"228","Quat","4b","Salmon",15,"FSL F2-0310",1,9.22,8.86,0.360000000000001
"229","Quat","1/2a","Environment",30,"FSL L4-0396",1,9.27,8.98,0.289999999999999
"230","Quat","1/2a","Salmon",30,"FSL F2-0237",1,9.21,8.84,0.370000000000001
"231","Quat","1/2b","Environment",30,"FSL L4-0060",1,9.05,8.74,0.31
"232","Quat","1/2b","Salmon",30,"FSL L3-0051",1,9.13,8.08,1.05
"233","Quat","4b","Environment",30,"FSL N1-0061",1,9.19,8.73,0.459999999999999
"234","Quat","4b","Salmon",30,"FSL F2-0310",1,9.15,8.64,0.51
"235","Quat","1/2a","Environment",1,"FSL L4-0396",2,6.9,5.56,1.34
"236","Quat","1/2a","Salmon",1,"FSL F2-0237",2,6.97,5.69,1.28
"237","Quat","1/2b","Environment",1,"FSL L4-0060",2,7.35,5.11,2.24
"238","Quat","1/2b","Salmon",1,"FSL L3-0051",2,6.67,5.46,1.21
"239","Quat","4b","Environment",1,"FSL N1-0061",2,6.42,5.73,0.69
"240","Quat","4b","Salmon",1,"FSL F2-0310",2,6.56,5.11,1.45
"241","Quat","1/2a","Environment",15,"FSL L4-0396",2,9.22,8.42,0.800000000000001
"242","Quat","1/2a","Salmon",15,"FSL F2-0237",2,9.19,8.76,0.43
"243","Quat","1/2b","Environment",15,"FSL L4-0060",2,9.17,8.43,0.74
"244","Quat","1/2b","Salmon",15,"FSL L3-0051",2,9.23,8.27,0.960000000000001
"245","Quat","4b","Environment",15,"FSL N1-0061",2,9.15,8.59,0.56
"246","Quat","4b","Salmon",15,"FSL F2-0310",2,9.22,8.71,0.51
"247","Quat","1/2a","Environment",30,"FSL L4-0396",2,9.16,8.66,0.5
"248","Quat","1/2a","Salmon",30,"FSL F2-0237",2,9.27,8.51,0.76
"249","Quat","1/2b","Environment",30,"FSL L4-0060",2,9.23,8.91,0.32
"250","Quat","1/2b","Salmon",30,"FSL L3-0051",2,9,8.28,0.720000000000001
"251","Quat","4b","Environment",30,"FSL N1-0061",2,9.29,8.39,0.899999999999999
"252","Quat","4b","Salmon",30,"FSL F2-0310",2,9.2,8.68,0.52
"253","Quat","1/2a","Environment",1,"FSL L4-0396",3,6.6,5.86,0.739999999999999
"254","Quat","1/2a","Salmon",1,"FSL F2-0237",3,6.76,5.49,1.27
"255","Quat","1/2b","Environment",1,"FSL L4-0060",3,6.66,5.35,1.31
"256","Quat","1/2b","Salmon",1,"FSL L3-0051",3,6.01,5,1.01
"257","Quat","4b","Environment",1,"FSL N1-0061",3,5.98,5.47,0.510000000000001
"258","Quat","4b","Salmon",1,"FSL F2-0310",3,6.47,5.24,1.23
"259","Quat","1/2a","Environment",15,"FSL L4-0396",3,8.93,7.1,1.83
"260","Quat","1/2a","Salmon",15,"FSL F2-0237",3,8.51,7.51,1
"261","Quat","1/2b","Environment",15,"FSL L4-0060",3,9.09,7.73,1.36
"262","Quat","1/2b","Salmon",15,"FSL L3-0051",3,9.09,7.27,1.82
"263","Quat","4b","Environment",15,"FSL N1-0061",3,8.97,7.31,1.66
"264","Quat","4b","Salmon",15,"FSL F2-0310",3,8.64,5.88,2.76
"265","Quat","1/2a","Environment",30,"FSL L4-0396",3,8.89,8.76,0.130000000000001
"266","Quat","1/2a","Salmon",30,"FSL F2-0237",3,9.2,7.96,1.24
"267","Quat","1/2b","Environment",30,"FSL L4-0060",3,9.03,8.57,0.459999999999999
"268","Quat","1/2b","Salmon",30,"FSL L3-0051",3,8.58,7.7,0.88
"269","Quat","4b","Environment",30,"FSL N1-0061",3,8.76,8.19,0.57
"270","Quat","4b","Salmon",30,"FSL F2-0310",3,9,8.35,0.65
"271","Quat","1/2a","Environment",1,"FSL L4-0396",4,6.16,5.12,1.04
"272","Quat","1/2a","Salmon",1,"FSL F2-0237",4,6.24,4.8,1.44
"273","Quat","1/2b","Environment",1,"FSL L4-0060",4,6.35,4.47,1.88
"274","Quat","1/2b","Salmon",1,"FSL L3-0051",4,5.37,4.13,1.24
"275","Quat","4b","Environment",1,"FSL N1-0061",4,5.66,4.43,1.23
"276","Quat","4b","Salmon",1,"FSL F2-0310",4,6.11,5.21,0.9
"277","Quat","1/2a","Environment",15,"FSL L4-0396",4,8.74,8.14,0.6
"278","Quat","1/2a","Salmon",15,"FSL F2-0237",4,8.91,8.36,0.550000000000001
"279","Quat","1/2b","Environment",15,"FSL L4-0060",4,9.3,8.58,0.720000000000001
"280","Quat","1/2b","Salmon",15,"FSL L3-0051",4,8.63,6.7,1.93
"281","Quat","4b","Environment",15,"FSL N1-0061",4,9.15,6.55,2.6
"282","Quat","4b","Salmon",15,"FSL F2-0310",4,8.54,8.26,0.279999999999999
"283","Quat","1/2a","Environment",30,"FSL L4-0396",4,8.96,8.36,0.600000000000001
"284","Quat","1/2a","Salmon",30,"FSL F2-0237",4,8.89,8.45,0.440000000000001
"285","Quat","1/2b","Environment",30,"FSL L4-0060",4,8.87,8.2,0.67
"286","Quat","1/2b","Salmon",30,"FSL L3-0051",4,9.2,8.28,0.92
"287","Quat","4b","Environment",30,"FSL N1-0061",4,8.81,8.78,0.0300000000000011
"288","Quat","4b","Salmon",30,"FSL F2-0310",4,9.05,8.64,0.41
